time,distance_in_cm
2024-03-25 09:24:17.147218,28.96
2024-03-25 09:24:18.869831,29.03
2024-03-25 09:24:20.619842,29.05
2024-03-25 09:24:22.337853,29.43
2024-03-25 09:24:24.055377,29.05
2024-03-25 09:24:25.785849,29.01
2024-03-25 09:24:27.507099,29.06
2024-03-25 09:24:29.228434,29.0
2024-03-25 09:24:30.961137,29.02
2024-03-25 09:24:32.679348,29.03
2024-03-25 09:24:34.400069,29.07
2024-03-25 09:24:36.135422,29.04
2024-03-25 09:24:37.844259,29.49
2024-03-25 09:24:39.568973,28.97
2024-03-25 09:24:41.326264,29.06
2024-03-25 09:24:43.037838,29.08
2024-03-25 09:24:44.760363,29.11
2024-03-25 09:24:46.496044,29.03
2024-03-25 09:24:48.221200,29.02
2024-03-25 09:24:49.935025,29.45
2024-03-25 09:24:51.669565,29.04
2024-03-25 09:24:53.703694,29.05
2024-03-25 09:24:55.472414,29.03
2024-03-25 09:24:57.184618,29.04
2024-03-25 09:24:58.907482,29.03
2024-03-25 09:25:00.644912,29.04
2024-03-25 09:25:02.376846,29.01
2024-03-25 09:25:04.101947,29.04
2024-03-25 09:25:05.833022,29.04
2024-03-25 09:25:07.556019,29.0
2024-03-25 09:25:09.280196,29.04
2024-03-25 09:25:11.010623,29.03
2024-03-25 09:25:12.749162,29.12
2024-03-25 09:25:14.475737,29.04
2024-03-25 09:25:16.190805,28.98
2024-03-25 09:25:17.912195,29.44
2024-03-25 09:25:19.642820,29.0
2024-03-25 09:25:21.371137,29.03
2024-03-25 09:25:23.090490,28.3
2024-03-25 09:25:24.816013,29.04
2024-03-25 09:25:26.543812,29.08
2024-03-25 09:25:28.271993,29.08
2024-03-25 09:25:29.999333,29.0
2024-03-25 09:25:31.734570,28.97
2024-03-25 09:25:33.456394,29.4
2024-03-25 09:25:35.180777,29.03
2024-03-25 09:25:36.920977,29.1
2024-03-25 09:25:38.643445,29.51
2024-03-25 09:25:40.367221,29.03
2024-03-25 09:25:42.098327,28.98
2024-03-25 09:25:43.823575,29.03
2024-03-25 09:25:45.565746,29.07
2024-03-25 09:25:47.290209,29.12
2024-03-25 09:25:49.015886,29.5
2024-03-25 09:25:50.747156,29.06
2024-03-25 09:25:52.834047,29.03
2024-03-25 09:25:55.191946,28.99
2024-03-25 09:25:56.914387,29.47
2024-03-25 09:25:58.643817,29.49
2024-03-25 09:26:00.385900,29.07
2024-03-25 09:26:02.116719,29.02
2024-03-25 09:26:03.839689,29.07
2024-03-25 09:26:05.580410,29.07
2024-03-25 09:26:07.304384,29.0
2024-03-25 09:26:09.030220,28.99
2024-03-25 09:26:10.758228,29.43
2024-03-25 09:26:12.500351,29.05
2024-03-25 09:26:14.221337,29.08
2024-03-25 09:26:15.937664,28.97
2024-03-25 09:26:17.648855,29.1
2024-03-25 09:26:19.371040,29.01
2024-03-25 09:26:21.098853,28.99
2024-03-25 09:26:22.827515,29.08
2024-03-25 09:26:24.545211,29.1
2024-03-25 09:26:26.273986,29.05
2024-03-25 09:26:27.995697,28.98
2024-03-25 09:26:29.853387,29.03
2024-03-25 09:26:31.572938,29.08
2024-03-25 09:26:33.298715,29.01
2024-03-25 09:26:35.022893,28.97
2024-03-25 09:26:36.776381,28.97
2024-03-25 09:26:38.507042,29.04
2024-03-25 09:26:40.229325,28.98
2024-03-25 09:26:41.956467,28.95
2024-03-25 09:26:43.673514,29.02
2024-03-25 09:26:45.410290,29.08
2024-03-25 09:26:47.136836,29.46
2024-03-25 09:26:48.857933,29.01
2024-03-25 09:26:50.579275,29.03
2024-03-25 09:26:52.689144,29.46
2024-03-25 09:26:55.024084,29.08
2024-03-25 09:26:56.763855,29.04
2024-03-25 09:26:58.486625,29.08
2024-03-25 09:27:00.212516,29.07
2024-03-25 09:27:01.935211,29.07
2024-03-25 09:27:03.656977,29.03
2024-03-25 09:27:05.379604,29.06
2024-03-25 09:27:07.112784,29.06
2024-03-25 09:27:08.831208,29.02
2024-03-25 09:27:10.558049,29.0
2024-03-25 09:27:12.280821,29.03
2024-03-25 09:27:14.005857,29.03
2024-03-25 09:27:15.767852,28.99
2024-03-25 09:27:17.533080,29.06
2024-03-25 09:27:19.253620,29.06
2024-03-25 09:27:20.987587,24.57
2024-03-25 09:27:22.705832,27.39
2024-03-25 09:27:24.430552,27.34
2024-03-25 09:27:26.175108,27.31
2024-03-25 09:27:27.894424,27.41
2024-03-25 09:27:29.616821,27.35
2024-03-25 09:27:31.344934,26.91
2024-03-25 09:27:33.062787,26.92
2024-03-25 09:27:34.785881,26.96
