time,temp_in_celsius,hum_in_percent
2024-03-25 09:24:30.373134,20.9,57.0
2024-03-25 09:24:41.621426,21.0,58.0
2024-03-25 09:24:58.364722,21.1,58.0
2024-03-25 09:25:09.621697,21.2,57.0
2024-03-25 09:25:20.876546,21.2,57.0
2024-03-25 09:25:32.134657,21.4,56.0
2024-03-25 09:25:43.384195,21.4,56.0
2024-03-25 09:25:54.640137,21.4,56.0
2024-03-25 09:26:05.891095,21.5,54.0
2024-03-25 09:26:17.149462,21.4,53.0
2024-03-25 09:26:29.120030,21.4,53.0
2024-03-25 09:26:45.865037,21.4,53.0
2024-03-25 09:27:02.613201,21.5,54.0
2024-03-25 09:27:14.272175,21.5,54.0
2024-03-25 09:27:31.022556,21.6,54.0
