time,distance_in_cm
2024-03-25 09:20:00.743028,29.44
2024-03-25 09:20:02.476991,29.46
2024-03-25 09:20:04.198908,29.08
2024-03-25 09:20:05.934431,29.48
2024-03-25 09:20:07.659407,29.1
2024-03-25 09:20:09.396365,28.99
2024-03-25 09:20:11.123484,29.01
2024-03-25 09:20:12.849323,29.08
2024-03-25 09:20:14.569826,29.04
2024-03-25 09:20:16.298439,29.1
2024-03-25 09:20:18.027631,29.06
2024-03-25 09:20:19.747301,29.07
2024-03-25 09:20:21.473224,29.04
2024-03-25 09:20:23.203310,29.04
2024-03-25 09:20:24.939719,29.05
2024-03-25 09:20:26.657910,28.99
2024-03-25 09:20:28.380509,29.5
2024-03-25 09:20:30.106918,29.01
2024-03-25 09:20:31.837320,28.97
2024-03-25 09:20:33.565091,29.01
2024-03-25 09:20:35.282886,28.97
2024-03-25 09:20:37.005942,29.01
2024-03-25 09:20:38.731757,29.12
2024-03-25 09:20:40.458781,29.04
2024-03-25 09:20:42.180259,29.03
2024-03-25 09:20:43.906326,29.03
2024-03-25 09:20:45.638837,29.36
2024-03-25 09:20:47.364714,29.02
2024-03-25 09:20:49.089704,28.97
2024-03-25 09:20:50.818995,29.11
2024-03-25 09:20:52.994121,28.99
2024-03-25 09:20:55.249440,29.06
2024-03-25 09:20:56.979162,28.95
2024-03-25 09:20:58.706017,29.05
2024-03-25 09:21:00.436475,29.06
2024-03-25 09:21:02.211111,29.01
2024-03-25 09:21:03.932932,29.05
2024-03-25 09:21:05.667910,29.0
2024-03-25 09:21:07.401005,29.01
2024-03-25 09:21:09.130263,29.05
2024-03-25 09:21:10.858643,28.97
2024-03-25 09:21:12.582687,29.01
2024-03-25 09:21:14.309873,29.08
2024-03-25 09:21:16.039809,29.06
2024-03-25 09:21:17.761345,29.09
2024-03-25 09:21:19.491470,29.44
2024-03-25 09:21:21.216780,29.02
2024-03-25 09:21:22.941156,29.1
2024-03-25 09:21:24.665224,29.05
2024-03-25 09:21:26.389751,29.51
2024-03-25 09:21:28.113012,29.08
2024-03-25 09:21:29.833698,28.98
2024-03-25 09:21:31.562324,29.01
2024-03-25 09:21:33.284494,29.12
2024-03-25 09:21:35.010075,29.0
2024-03-25 09:21:36.760526,29.51
2024-03-25 09:21:38.484658,29.11
2024-03-25 09:21:40.205222,29.04
2024-03-25 09:21:41.932509,29.39
2024-03-25 09:21:43.655955,29.04
2024-03-25 09:21:45.371124,29.41
2024-03-25 09:21:47.112483,28.98
2024-03-25 09:21:48.833685,29.06
2024-03-25 09:21:50.576271,29.05
2024-03-25 09:21:52.687628,28.96
2024-03-25 09:21:55.201302,29.07
2024-03-25 09:21:56.924748,29.46
2024-03-25 09:21:58.650289,29.5
2024-03-25 09:22:00.375876,29.49
2024-03-25 09:22:02.103756,29.09
2024-03-25 09:22:03.841209,28.98
2024-03-25 09:22:05.573933,29.51
2024-03-25 09:22:07.299978,29.03
2024-03-25 09:22:09.024842,29.44
2024-03-25 09:22:10.755001,29.05
2024-03-25 09:22:12.476956,29.03
2024-03-25 09:22:15.548122,29.07
2024-03-25 09:22:17.268770,28.96
2024-03-25 09:22:18.987362,29.04
2024-03-25 09:22:20.706516,29.48
2024-03-25 09:22:22.428587,28.99
2024-03-25 09:22:24.147527,29.01
2024-03-25 09:22:26.266453,28.97
2024-03-25 09:22:27.998746,29.05
2024-03-25 09:22:29.720828,29.04
2024-03-25 09:22:31.439405,29.06
2024-03-25 09:22:33.170522,28.96
2024-03-25 09:22:34.892196,28.96
2024-03-25 09:22:36.621619,29.01
2024-03-25 09:22:38.344146,29.04
2024-03-25 09:22:40.058973,29.08
2024-03-25 09:22:41.785323,29.48
2024-03-25 09:22:43.508237,29.06
2024-03-25 09:22:45.227836,29.1
2024-03-25 09:22:46.958909,29.01
2024-03-25 09:22:48.682880,29.01
2024-03-25 09:22:50.733881,28.96
2024-03-25 09:22:52.825013,29.01
2024-03-25 09:22:55.204195,29.45
2024-03-25 09:22:56.921902,29.02
2024-03-25 09:22:58.647111,28.99
2024-03-25 09:23:00.385565,29.06
2024-03-25 09:23:02.108162,29.41
2024-03-25 09:23:03.832392,29.07
2024-03-25 09:23:05.562143,29.04
2024-03-25 09:23:07.284002,29.0
2024-03-25 09:23:09.019127,29.04
2024-03-25 09:23:10.750918,29.03
2024-03-25 09:23:12.480717,29.08
2024-03-25 09:23:14.202428,29.04
2024-03-25 09:23:15.931863,29.07
2024-03-25 09:23:17.673445,29.08
2024-03-25 09:23:19.417907,28.96
