time,temp_in_celsius,hum_in_percent
2024-03-25 08:57:07.393504,20.4,58.0
2024-03-25 08:57:24.162653,20.4,58.0
2024-03-25 08:57:35.431935,20.4,58.0
2024-03-25 08:57:52.173321,20.4,58.0
2024-03-25 08:58:03.487023,20.4,58.0
2024-03-25 08:58:15.231747,20.5,58.0
2024-03-25 08:58:26.520980,20.5,58.0
2024-03-25 08:58:37.782724,20.5,58.0
2024-03-25 08:58:54.533521,20.5,58.0
2024-03-25 08:59:05.791664,20.5,58.0
2024-03-25 08:59:17.046354,20.5,58.0
2024-03-25 08:59:28.297481,20.5,58.0
2024-03-25 08:59:39.548744,20.5,58.0
2024-03-25 08:59:45.311700,20.5,58.0
2024-03-25 09:00:02.053948,20.5,58.0
2024-03-25 09:00:13.610437,20.5,58.0
2024-03-25 09:00:24.862451,20.5,58.0
2024-03-25 09:00:36.117913,20.6,58.0
