time,distance_in_cm
2024-03-25 09:29:44.519223,26.96
2024-03-25 09:29:46.265673,27.39
2024-03-25 09:29:47.989561,27.44
2024-03-25 09:29:49.717812,26.96
2024-03-25 09:29:51.445491,26.95
2024-03-25 09:29:53.458016,27.0
2024-03-25 09:29:55.408569,27.35
2024-03-25 09:29:57.136680,27.33
2024-03-25 09:29:58.868467,26.95
2024-03-25 09:30:00.603881,26.9
2024-03-25 09:30:02.331453,26.95
2024-03-25 09:30:04.054781,27.39
2024-03-25 09:30:05.780837,26.89
2024-03-25 09:30:07.506309,26.89
2024-03-25 09:30:09.235822,26.93
2024-03-25 09:30:11.268625,27.37
2024-03-25 09:30:13.007010,26.91
2024-03-25 09:30:14.727925,27.33
2024-03-25 09:30:16.473684,27.43
2024-03-25 09:30:18.188868,26.89
2024-03-25 09:30:19.912644,27.41
2024-03-25 09:30:21.640080,27.33
2024-03-25 09:30:23.361143,26.88
2024-03-25 09:30:25.079890,27.34
2024-03-25 09:30:26.805892,27.31
2024-03-25 09:30:28.526883,26.95
2024-03-25 09:30:30.250376,26.98
2024-03-25 09:30:31.981995,27.33
2024-03-25 09:30:38.729683,26.97
2024-03-25 09:30:40.450066,27.04
2024-03-25 09:30:42.174436,27.32
2024-03-25 09:30:43.897786,27.42
2024-03-25 09:30:45.627572,26.99
2024-03-25 09:30:47.383758,26.98
2024-03-25 09:30:49.108904,26.93
2024-03-25 09:30:50.837958,26.9
2024-03-25 09:30:52.969668,27.38
2024-03-25 09:30:55.220588,27.4
2024-03-25 09:30:56.938622,26.9
2024-03-25 09:30:58.712561,27.01
2024-03-25 09:31:00.433970,27.38
2024-03-25 09:31:02.153702,27.33
2024-03-25 09:31:03.889544,27.0
2024-03-25 09:31:05.615971,26.91
2024-03-25 09:31:07.448972,27.4
2024-03-25 09:31:09.173285,26.92
2024-03-25 09:31:10.900896,27.45
2024-03-25 09:31:12.616610,26.99
2024-03-25 09:31:14.357340,26.97
2024-03-25 09:31:16.092036,26.96
2024-03-25 09:31:17.933692,27.34
2024-03-25 09:31:19.680901,26.98
2024-03-25 09:31:21.411893,27.35
2024-03-25 09:31:23.123007,27.38
2024-03-25 09:31:24.841659,26.95
2024-03-25 09:31:26.570177,27.4
2024-03-25 09:31:28.293190,27.44
2024-03-25 09:31:30.019725,27.4
2024-03-25 09:31:31.758745,26.93
2024-03-25 09:31:33.480604,26.88
2024-03-25 09:31:35.225246,27.32
2024-03-25 09:31:36.951852,27.37
2024-03-25 09:31:38.674058,27.34
2024-03-25 09:31:40.401337,27.42
2024-03-25 09:31:42.129579,27.33
2024-03-25 09:31:43.850634,27.33
2024-03-25 09:31:45.579220,26.99
2024-03-25 09:31:47.302900,26.95
2024-03-25 09:31:49.015507,27.36
2024-03-25 09:31:50.760216,27.36
2024-03-25 09:31:52.833812,26.89
2024-03-25 09:31:55.060995,26.88
2024-03-25 09:31:56.790151,26.88
2024-03-25 09:31:58.518936,27.27
2024-03-25 09:32:00.240897,26.95
2024-03-25 09:32:02.012080,26.93
2024-03-25 09:32:03.733268,26.95
2024-03-25 09:32:05.462193,27.4
2024-03-25 09:32:07.185317,27.35
2024-03-25 09:32:08.904782,26.92
2024-03-25 09:32:10.635778,27.38
2024-03-25 09:32:12.365189,27.42
2024-03-25 09:32:14.085086,27.41
2024-03-25 09:32:15.817219,27.0
2024-03-25 09:32:17.539308,26.97
2024-03-25 09:32:19.267606,26.93
2024-03-25 09:32:21.011501,26.93
2024-03-25 09:32:22.739852,27.02
2024-03-25 09:32:24.462327,27.42
2024-03-25 09:32:26.189758,27.38
2024-03-25 09:32:27.909667,27.0
2024-03-25 09:32:29.667553,27.41
2024-03-25 09:32:31.393690,27.44
2024-03-25 09:32:33.264365,26.94
2024-03-25 09:32:34.983550,27.37
2024-03-25 09:32:36.712527,27.42
2024-03-25 09:32:38.430971,26.99
2024-03-25 09:32:40.154198,27.4
2024-03-25 09:32:41.891819,27.42
2024-03-25 09:32:43.614868,27.33
2024-03-25 09:32:45.335401,27.44
2024-03-25 09:32:47.060225,27.31
2024-03-25 09:32:48.784333,27.34
2024-03-25 09:32:50.511332,27.32
2024-03-25 09:32:52.565275,27.0
2024-03-25 09:32:54.794447,26.88
2024-03-25 09:32:56.529020,27.35
2024-03-25 09:32:58.251472,27.32
2024-03-25 09:32:59.972986,27.39
2024-03-25 09:33:01.713452,27.36
2024-03-25 09:33:03.432005,27.39
2024-03-25 09:33:05.153008,26.94
2024-03-25 09:33:06.880392,26.58
2024-03-25 09:33:08.603087,27.37
2024-03-25 09:33:10.327754,27.0
2024-03-25 09:33:12.054604,26.95
2024-03-25 09:33:13.780297,27.02
2024-03-25 09:33:15.499910,26.93
2024-03-25 09:33:17.215164,27.34
2024-03-25 09:33:18.940670,26.9
2024-03-25 09:33:21.018961,26.97
2024-03-25 09:33:22.875053,27.36
2024-03-25 09:33:24.606586,26.5
2024-03-25 09:33:26.331973,26.94
2024-03-25 09:33:28.215491,27.33
2024-03-25 09:33:29.950698,27.41
2024-03-25 09:33:31.675612,26.88
2024-03-25 09:33:33.404747,26.99
2024-03-25 09:33:35.126757,26.92
2024-03-25 09:33:36.854051,26.93
2024-03-25 09:33:38.580587,26.96
2024-03-25 09:33:40.303824,27.4
2024-03-25 09:33:42.029341,27.35
2024-03-25 09:33:43.760281,27.42
2024-03-25 09:33:45.487250,27.35
2024-03-25 09:33:47.212291,27.33
2024-03-25 09:33:48.929143,26.95
2024-03-25 09:33:50.652154,27.0
2024-03-25 09:33:52.834779,26.88
2024-03-25 09:33:55.155404,26.96
2024-03-25 09:33:56.879152,27.46
2024-03-25 09:33:58.599723,26.98
2024-03-25 09:34:00.321892,26.93
2024-03-25 09:34:02.040610,27.41
2024-03-25 09:34:03.781415,27.41
2024-03-25 09:34:05.511501,27.38
2024-03-25 09:34:07.239826,26.97
2024-03-25 09:34:08.961190,26.97
2024-03-25 09:34:10.697316,27.29
2024-03-25 09:34:12.415657,26.88
2024-03-25 09:34:14.135662,27.32
2024-03-25 09:34:15.867962,27.37
2024-03-25 09:34:17.593281,26.94
2024-03-25 09:34:19.319602,26.93
2024-03-25 09:34:21.064233,26.86
2024-03-25 09:34:22.790870,26.93
2024-03-25 09:34:24.513801,26.86
2024-03-25 09:34:26.257356,26.92
2024-03-25 09:34:27.976542,27.33
2024-03-25 09:34:29.698784,27.35
2024-03-25 09:34:31.426659,26.94
2024-03-25 09:34:33.146836,27.4
2024-03-25 09:34:34.869323,26.86
2024-03-25 09:34:36.612250,26.96
2024-03-25 09:34:38.331099,26.96
2024-03-25 09:34:40.042301,26.98
2024-03-25 09:34:41.770433,27.43
2024-03-25 09:34:43.491937,27.42
2024-03-25 09:34:45.211671,26.92
2024-03-25 09:34:47.271722,21.75
2024-03-25 09:34:49.007008,25.53
2024-03-25 09:34:50.727094,25.1
2024-03-25 09:34:52.830656,25.06
2024-03-25 09:34:55.145971,25.11
2024-03-25 09:34:56.874634,25.13
2024-03-25 09:34:58.600554,24.77
2024-03-25 09:35:00.321442,25.18
2024-03-25 09:35:02.012249,25.13
2024-03-25 09:35:03.755474,24.74
2024-03-25 09:35:05.507936,24.8
2024-03-25 09:35:07.231818,24.81
2024-03-25 09:35:08.957059,25.14
2024-03-25 09:35:10.679171,24.72
2024-03-25 09:35:12.415069,25.18
2024-03-25 09:35:14.211049,25.15
2024-03-25 09:35:15.935477,24.77
2024-03-25 09:35:17.662346,24.77
2024-03-25 09:35:19.384122,24.75
2024-03-25 09:35:21.107709,24.71
2024-03-25 09:35:22.832037,24.77
2024-03-25 09:35:24.544585,24.72
2024-03-25 09:35:26.277362,24.72
2024-03-25 09:35:28.027611,24.83
2024-03-25 09:35:29.752204,24.79
2024-03-25 09:35:31.477058,25.13
2024-03-25 09:35:33.196532,24.79
2024-03-25 09:35:34.917238,25.21
2024-03-25 09:35:36.641917,24.73
2024-03-25 09:35:38.365147,24.82
2024-03-25 09:35:40.097674,24.81
2024-03-25 09:35:41.833402,24.79
2024-03-25 09:35:43.979036,24.82
2024-03-25 09:35:45.703444,24.76
2024-03-25 09:35:47.426706,24.76
2024-03-25 09:35:49.153725,25.21
2024-03-25 09:35:50.880706,24.75
2024-03-25 09:35:52.982395,24.74
2024-03-25 09:35:55.215316,24.77
2024-03-25 09:35:56.931832,24.74
2024-03-25 09:35:58.650244,24.36
2024-03-25 09:36:00.371741,24.74
2024-03-25 09:36:02.098217,25.15
2024-03-25 09:36:03.818292,24.71
2024-03-25 09:36:05.558484,24.73
2024-03-25 09:36:07.267314,24.82
2024-03-25 09:36:09.006360,24.7
2024-03-25 09:36:10.736400,24.79
2024-03-25 09:36:12.470172,24.75
2024-03-25 09:36:14.196049,24.79
2024-03-25 09:36:15.921098,24.73
2024-03-25 09:36:17.637605,25.2
2024-03-25 09:36:19.452040,24.79
2024-03-25 09:36:21.177595,24.73
2024-03-25 09:36:22.886777,24.68
2024-03-25 09:36:24.611577,24.79
2024-03-25 09:36:26.350396,24.7
2024-03-25 09:36:28.071596,24.82
2024-03-25 09:36:29.794964,24.73
2024-03-25 09:36:31.524541,25.22
2024-03-25 09:36:33.254176,24.77
2024-03-25 09:36:34.977453,24.79
2024-03-25 09:36:36.711993,25.18
2024-03-25 09:36:38.433380,25.15
2024-03-25 09:36:40.155024,24.79
2024-03-25 09:36:41.881993,20.05
2024-03-25 09:36:43.607478,22.65
2024-03-25 09:36:45.338752,23.22
2024-03-25 09:36:47.066734,23.18
2024-03-25 09:36:48.785379,22.78
2024-03-25 09:36:50.513325,22.67
2024-03-25 09:36:52.698838,22.8
2024-03-25 09:36:54.998739,22.7
