time,temp_in_celsius,hum_in_percent
2024-03-25 09:29:57.373251,21.5,49.0
2024-03-25 09:30:08.624200,21.4,50.0
2024-03-25 09:30:19.882315,21.4,49.0
2024-03-25 09:30:31.145195,21.4,50.0
2024-03-25 09:30:42.403277,21.4,50.0
2024-03-25 09:30:59.140306,21.5,50.0
2024-03-25 09:31:10.386409,21.4,51.0
2024-03-25 09:31:21.644861,21.5,51.0
2024-03-25 09:31:32.894850,21.5,51.0
2024-03-25 09:31:44.145297,21.5,51.0
2024-03-25 09:31:55.395776,21.5,51.0
2024-03-25 09:32:06.653568,21.5,51.0
2024-03-25 09:32:23.396164,21.6,51.0
2024-03-25 09:32:40.144208,21.6,51.0
2024-03-25 09:32:51.406769,21.6,51.0
2024-03-25 09:33:02.655209,21.7,52.0
2024-03-25 09:33:19.744128,21.7,52.0
2024-03-25 09:33:31.009418,21.8,52.0
2024-03-25 09:33:42.270251,21.9,51.0
2024-03-25 09:33:53.524637,22.0,52.0
2024-03-25 09:34:10.262587,22.0,52.0
2024-03-25 09:34:21.520803,22.1,52.0
2024-03-25 09:34:32.793165,22.1,52.0
2024-03-25 09:34:44.053684,22.2,51.0
2024-03-25 09:34:55.331727,22.2,51.0
2024-03-25 09:35:06.584848,22.2,51.0
2024-03-25 09:35:17.845214,22.2,51.0
2024-03-25 09:35:29.106095,22.2,51.0
2024-03-25 09:35:45.853714,22.2,51.0
2024-03-25 09:35:57.105242,22.2,50.0
2024-03-25 09:36:13.851648,22.3,51.0
2024-03-25 09:36:25.124883,22.3,51.0
2024-03-25 09:36:36.382174,22.3,51.0
2024-03-25 09:36:53.123441,22.3,50.0
