time,distance_in_cm
2024-03-25 09:06:08.576895,29.72
2024-03-25 09:06:10.274015,29.18
2024-03-25 09:06:12.018062,29.17
2024-03-25 09:06:13.718881,29.11
2024-03-25 09:06:15.411947,29.66
2024-03-25 09:06:17.105179,29.22
2024-03-25 09:06:18.798460,29.17
2024-03-25 09:06:20.494339,29.24
2024-03-25 09:06:22.186244,29.65
2024-03-25 09:06:23.880935,29.25
2024-03-25 09:06:25.584353,29.13
2024-03-25 09:06:27.271733,29.17
2024-03-25 09:06:28.961805,29.15
2024-03-25 09:06:30.656773,29.13
2024-03-25 09:06:32.346462,29.61
2024-03-25 09:06:34.103110,29.24
2024-03-25 09:06:35.804991,29.24
2024-03-25 09:06:37.500652,29.17
2024-03-25 09:06:39.185558,29.59
2024-03-25 09:06:40.880096,29.19
2024-03-25 09:06:42.579444,29.2
2024-03-25 09:06:44.278735,29.17
2024-03-25 09:06:45.971451,29.58
2024-03-25 09:06:47.668501,29.22
2024-03-25 09:06:49.359198,29.26
2024-03-25 09:06:51.051495,29.19
2024-03-25 09:06:53.076404,29.19
2024-03-25 09:06:55.195713,29.63
2024-03-25 09:06:56.897405,29.23
2024-03-25 09:06:58.673516,29.24
2024-03-25 09:07:00.369124,29.16
2024-03-25 09:07:02.059165,29.27
2024-03-25 09:07:03.746315,29.14
2024-03-25 09:07:05.438235,29.2
2024-03-25 09:07:07.125937,29.13
2024-03-25 09:07:08.823495,29.15
2024-03-25 09:07:10.518807,29.51
2024-03-25 09:07:12.215461,29.19
2024-03-25 09:07:18.946229,29.23
2024-03-25 09:07:20.669301,29.15
2024-03-25 09:07:22.392638,29.64
2024-03-25 09:07:24.116514,29.24
2024-03-25 09:07:25.845097,29.11
2024-03-25 09:07:27.568618,29.13
2024-03-25 09:07:29.283806,29.17
2024-03-25 09:07:31.013539,29.18
2024-03-25 09:07:32.737101,29.24
2024-03-25 09:07:34.457563,29.17
2024-03-25 09:07:36.184704,29.13
2024-03-25 09:07:37.907648,29.2
2024-03-25 09:07:39.629421,29.15
2024-03-25 09:07:41.394685,29.18
2024-03-25 09:07:43.133053,29.19
