time,temp_in_celsius,hum_in_percent
2024-03-25 09:06:19.224851,20.8,57.0
2024-03-25 09:06:30.485736,20.8,57.0
2024-03-25 09:06:36.262406,20.8,57.0
2024-03-25 09:06:47.565564,20.8,57.0
2024-03-25 09:06:58.815844,20.7,57.0
2024-03-25 09:07:15.553538,20.7,57.0
2024-03-25 09:07:26.815671,20.7,57.0
2024-03-25 09:07:38.061624,20.7,57.0
2024-03-25 09:07:49.320831,20.7,57.0
2024-03-25 09:08:00.652895,20.7,57.0
2024-03-25 09:08:11.902798,20.7,57.0
2024-03-25 09:08:28.645031,20.7,57.0
2024-03-25 09:08:39.904409,20.7,57.0
2024-03-25 09:08:51.162037,20.7,57.0
2024-03-25 09:09:02.416612,20.7,57.0
2024-03-25 09:09:19.551265,20.7,57.0
2024-03-25 09:09:30.814045,20.7,57.0
2024-03-25 09:09:47.554850,20.7,57.0
2024-03-25 09:09:58.806479,20.7,57.0
2024-03-25 09:10:10.063283,20.7,57.0
2024-03-25 09:10:26.804077,20.7,57.0
2024-03-25 09:10:38.055010,20.7,57.0
2024-03-25 09:10:49.312234,20.7,57.0
2024-03-25 09:11:06.054059,20.7,57.0
2024-03-25 09:11:17.301315,20.8,57.0
2024-03-25 09:11:28.562813,20.8,57.0
2024-03-25 09:11:39.816416,20.7,57.0
2024-03-25 09:11:56.555083,20.7,57.0
2024-03-25 09:12:07.896784,20.7,57.0
2024-03-25 09:12:24.634232,20.6,57.0
2024-03-25 09:12:41.384420,20.7,57.0
2024-03-25 09:12:58.422614,20.6,57.0
2024-03-25 09:13:09.680977,20.6,57.0
2024-03-25 09:13:20.941242,20.6,57.0
2024-03-25 09:13:32.204021,20.6,57.0
2024-03-25 09:13:43.462617,20.6,57.0
2024-03-25 09:13:54.718925,20.7,57.0
2024-03-25 09:14:05.971757,20.7,57.0
2024-03-25 09:14:22.702863,20.7,57.0
2024-03-25 09:14:33.954505,20.7,57.0
2024-03-25 09:14:50.704885,20.6,58.0
2024-03-25 09:15:01.955241,20.7,58.0
2024-03-25 09:15:19.111686,20.7,58.0
2024-03-25 09:15:30.374918,20.7,58.0
2024-03-25 09:15:41.626611,20.7,57.0
2024-03-25 09:15:52.883909,20.8,57.0
2024-03-25 09:16:04.138094,20.8,57.0
2024-03-25 09:16:15.445352,20.9,57.0
2024-03-25 09:16:32.184761,20.9,57.0
2024-03-25 09:16:43.435408,20.9,57.0
2024-03-25 09:17:00.172490,20.9,57.0
2024-03-25 09:17:11.434672,21.0,58.0
2024-03-25 09:17:22.693625,21.0,57.0
2024-03-25 09:17:39.432457,20.9,57.0
2024-03-25 09:17:56.182578,21.0,57.0
2024-03-25 09:18:07.713768,21.0,57.0
2024-03-25 09:18:19.082197,21.0,57.0
2024-03-25 09:18:30.344257,21.0,57.0
2024-03-25 09:18:41.596806,21.0,57.0
